name,specialty,city,comment,rating,Label,probability
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,سلام من بیمارشان درشهرکردهستم...بنده گرفتگی رگ های گردن داشتم ک با تشخیص آقای دکتر و عمل کردن خداروشکر مشکلم برطرف شد بسیار راضی هستم .,3.6,مثبت,93.6205
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,چرا همیشه نوبت خالی نداره,3.8,مثبت,88.3543
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,تورو خدا ی نوبت بدید ب ما چکار کنیم وقتی پاسخ نمیده منشی بعداز چندماه جواب دادن میگه نوبت نداریم,3,خنثی,54.3893
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,ببخشید مطب هرچقدرتماس میگیرم کسی جواب نمیده من یه سوالی داشتم چجوری میتونم بپرسم,4.6,مثبت,72.6904
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,خواهش میکنم ی نوبت بمن بدین .بیماراورژانسی دارم 🥲😔,5,خنثی,55.2134
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,بهترین دکتریه ک تا به حال دیدم.. از همه لحاظ بینظیرن,5,مثبت,98.3020
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,خدا خیرش بده دکتر از هر نظر عالی همیشه سلامت باشند,5,مثبت,96.6198
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,مبتلا ب ام اس هستم و سردردهای شدیدی داشتم قبل از ایشون پیش یه دکتر دیگه میرفتم میگفتن عادیه و بخاطر بیماری هست اما ایشون با یه نسخه ک پیشش رفتم دارو دادن و سردردهام خیلی کم و کنترل شدن,5,خنثی,55.3785
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,تشخیص عالی,5,مثبت,96.8270
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,بسیار با حوصله و مهربان عالی هستن آقای دکتر,5,مثبت,96.8027
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,عالی بودن کارشون سالیان سال بیمار ما میگرن داشت و هرشب مسکن میخورد و تا سرم و کلینیک پیش میرفت با یک دوره نسخه سردرداش خوب شدن خداروشکر,5,مثبت,97.7308
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,دکتر ی با تشخیص و برخورد عالی,5,مثبت,96.5745
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,منشی بسیار بدی دارند، ولی دکتر بسیار خوبی میباشند,5,مثبت,68.7939
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,آقای دکتر بسیار دقیق علایم را بررسی می‌کنند و بی دلیل هیچگونه نظری در رابطه با بیماری نمیدهند از لحاظ اخلاق هم فوق‌العاده هستند و تحت هر شرایطی به بیمار و خانواده‌اش امیدواری می‌دهند,5,مثبت,96.9840
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,مدت زمان بسیار طولانی در مطب باید منتظر ماند، دکتر اخلاق خوبی دارند اما مدیریت ویزیت‌ها به درستی انجام نمی‌شود.,1,منفی,69.8541
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,سلام من به اقای دکتر مراجعه کردم متاسفانه رسیدگی ایشان در مطب مناسب نبود همزمان چند نفر را داخل مطب نموده و رسیدگی ضعیف بود ایشان را به سایر بیماران توصیه نمی کنم,1,منفی,80.5271
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,ای کاش زود تر کار بیمارا راه میوفتاد و اینقدر معطلی نداشت,1,خنثی,42.7710
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,دکتر عالی اما نوبت دهی سخت هست تلفن پاسخ داده نمیشه,4.2,مثبت,87.7396
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,دکتر بسیار متبحر و کار درست هستند ولی هرچی از منشی های دکتر بگم کم گفتم دکتر خواهش میکنم اگه نظرات رو میخونید در این مورد رسیدگی کنید حیف شما که منشی بد اخلاقی مثل این دارید انگار جای شما با منشی هاتون عوض شده ۶ ماه نتونستیم نوبت بگیریم جواب سر بالا ميدند تا حضوری هم اومدیم نوبت ندادن واقعا آدم میمونه چی بگه,4,خنثی,45.8785
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,مادرم خونریزی مغزی کرده دکتر سعادت نیا عملش کردن خوب شد تشکر از دکتر و کادر درمان بیمارستان میلاد,5,مثبت,92.0255
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,من چند ماهه میخوام برای پدرم نوبت بگیریم اما نمیشه میشه کمکم کنید همش میگه این دکتر نوبت خالی نداره,1,مثبت,55.0664
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,آقای دکتر بسیارمتبحر,3,مثبت,80.6095
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,من سکته مغزی کردم تا وارد مطب شدم دکتر متوجه شدند ودستور بستری دادند وگرنه قبلش هیچ دکتری نفهمید,5,خنثی,44.2629
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,همسرم خونریزی مغزی کردند و دو تا رگهای سرشون پاره شده بود،در آستانه ی خطر جدی تری بودند، دکتر سعادت نیا عملشون کردند و الان خوب هستن امیدوارم خدا نگهدارشون باشه و سلامت و پاینده باشند،خدا رو شکر دکتر خوبی مثل دکتر سعادت نیا در اصفهان هستن,5,مثبت,70.7593
دکتر محمد سعادت نیا,فلوشیپ تصویربرداری مداخله‌ای (اینترونشنال رادیولوژی),اصفهان,من یک ویزیت با معرفی دکتر مشاوره و روانشناسم پیش ایشون رفتم. دکتر سرشار از انرژی مثبت بود و طی ویزیت اول تا الان از داروهاشون راضی هستم. سعی میکنم طی روند درمان باز هم پیام بگذارم ولی از لحاظ برخورد توضیحات و انرژی مثبت و راهنمایی ها فوق العاده بودند.من نوبت از قبل نداشتم و با معرفی نامه همون شب اخر وقت بهم نوبت دادن با وجود معطلی ولی نوبتم شد.,5,مثبت,90.5144
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,باتشکر از خانم دکتر افسانه قاسمی دقت زیادوتجربه ایشان از همکاران دکتر بیشتر هستش.,4.2,مثبت,91.2859
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی و دقیق,5,مثبت,95.2848
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,5,مثبت,84.1696
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,4,مثبت,84.1696
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی بود,5,مثبت,93.2885
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,4,مثبت,76.9614
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,1,مثبت,96.7310
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,4,مثبت,76.9614
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,4,مثبت,76.9614
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,5,مثبت,96.7310
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی بود,5,مثبت,93.2885
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,5,مثبت,84.1696
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,عالی,4,مثبت,96.7310
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,3,مثبت,84.1696
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,4,مثبت,84.1696
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب,5,مثبت,84.1696
دکتر افسانه قاسمی,تخصص تصویربرداری (رادیولوژی),یزد,خوب بود,5,مثبت,76.9614
